catchTrial,actionExecuted,RTpress,congruency,SOAactual,delay,synchrony,RTsynchrony,respCatch,correctCatch,RTCatch,subject
0,1,0.367224826812744,1,-0.0751141691207886,1,0,0.620189428329468,NaN,NaN,NaN,5
0,1,0.433992977142334,1,0.0834601879119873,1,1,0.579434156417847,NaN,NaN,NaN,5
0,1,0.358878808021545,2,-0.0333840751647949,1,1,1.26377272605896,NaN,NaN,NaN,5
0,2,0.450685014724731,1,0.0500761127471924,0,1,0.668659925460815,NaN,NaN,NaN,5
0,1,0.32549473285675,1,0.00834601879119873,1,1,0.854581356048584,NaN,NaN,NaN,5
0,1,0.500761127471924,2,-0.100152225494385,1,1,0.73612642288208,NaN,NaN,NaN,5
1,1,0.350532789230347,2,-0.0667681503295898,1,1,0.730100154876709,0,1,0.952439069747925,5
0,1,0.433992977142334,1,-0.100152225494385,1,0,0.709598541259766,NaN,NaN,NaN,5
0,2,0.358878808021545,2,0.166920375823975,0,1,0.649962186813354,NaN,NaN,NaN,5
1,1,0.358878808021545,2,-0.0417300939559936,1,1,0.765340805053711,0,1,0.758152008056641,5
0,2,0.375570845603943,2,0.0667681503295898,0,1,1.34728097915649,NaN,NaN,NaN,5
0,1,0.350532789230347,1,0.108498244285583,1,1,0.684472322463989,NaN,NaN,NaN,5
0,1,0.333840751647949,2,0.0667681503295898,1,1,0.8947594165802,NaN,NaN,NaN,5
0,2,0.308802695274353,1,0.141882319450378,0,1,0.585651159286499,NaN,NaN,NaN,5
0,2,0.417300939559937,1,-0.0166920375823975,0,1,0.705642223358154,NaN,NaN,NaN,5
0,2,0.492415108680725,1,-0.0417300939559936,0,1,0.729842662811279,NaN,NaN,NaN,5
1,1,0.433992977142334,1,-0.100152225494385,1,0,1.44545364379883,1,1,1.01391696929932,5
0,2,0.358878808021545,2,-0.0751141691207886,0,1,0.541919946670532,NaN,NaN,NaN,5
0,1,0.342186770439148,2,-0.0667681503295898,1,1,0.863127708435059,NaN,NaN,NaN,5
0,1,0.475723071098328,2,-0.0333840751647949,1,1,0.670807361602783,NaN,NaN,NaN,5
0,2,0.417300939559937,1,-0.091806206703186,0,0,0.726913928985596,NaN,NaN,NaN,5
0,2,0.433992977142334,2,0.00834601879119873,0,1,1.52189540863037,NaN,NaN,NaN,5
0,2,0.350532789230347,2,-0.125190281867981,0,1,0.834408760070801,NaN,NaN,NaN,5
0,2,0.484069089889526,1,-0.0333840751647949,0,1,0.498807668685913,NaN,NaN,NaN,5
0,2,0.300456676483154,2,0.20030445098877,0,1,0.814444780349731,NaN,NaN,NaN,5
0,1,0.375570845603943,2,0.225342507362366,1,1,0.617972373962402,NaN,NaN,NaN,5
0,2,0.32549473285675,2,0.175266394615173,0,1,0.552763223648071,NaN,NaN,NaN,5
1,1,0.350532789230347,1,0.267072601318359,1,1,0.468552112579346,1,1,0.964034795761108,5
0,1,0.32549473285675,2,-0.0500761127471924,1,1,0.693879127502441,NaN,NaN,NaN,5
0,1,0.317148714065552,2,0.125190281867981,1,1,2.20926094055176,NaN,NaN,NaN,5
0,2,0.367224826812744,1,0.0417300939559936,0,1,1.70595383644104,NaN,NaN,NaN,5
0,2,0.52579918384552,2,-0.250380563735962,0,0,1.10700416564941,NaN,NaN,NaN,5
0,2,0.358878808021545,1,0.0500761127471924,0,1,0.620030164718628,NaN,NaN,NaN,5
0,2,0.400608901977539,2,0.0417300939559936,0,1,1.28633522987366,NaN,NaN,NaN,5
0,1,0.308802695274353,1,-0.0751141691207886,1,1,1.21907210350037,NaN,NaN,NaN,5
0,1,0.300456676483154,2,0.100152225494385,1,1,0.806023836135864,NaN,NaN,NaN,5
1,2,0.517453165054321,1,-0.191958432197571,0,0,0.793061256408691,0,1,1.29173707962036,5
